affiliation,country
AIT Austrian Institute of Technology GmbH,Austria
Academia Sinica,Taiwan
Airbnb,USA
Aix Marseille Université,France
Ajou University,Republic of Korea
Albert-Ludwigs-Universität Freiburg,Germany
Alexandria University,Egypt
Allama Iqbal Open University,Pakistan
Alzahra University,Iran
Amazon Inc.,USA
Amirkabir University of Technology (Polytechnic of Tehran),Iran
Amity University,India
Anhui Normal University,China
Anhui University,China
Argonne National Laboratory,USA
Athens University of Applied Sciences,Greece
Autonomous University of Barcelona,Spain
Avignon University,France
Azarbaijan Shahid Madani University,Iran
Bar Ilan University,Israel
Barry University,USA
Beijing Institute of Technology,China
Beijing Jiaotong University,China
Beijing University of Chemical Technology,China
Beijing University of Civil Engineering and Architecture,China
Beijing University of Posts and Telecommunications,China
Beijing University of Technology,China
Belarusian State University of Informatics and Radioelectronics,Belarus
Ben Gurion University of the Negev,Israel
Bennett University,India
Bentley University,United States
Bergische University Wuppertal,Germany
Boise State University,Boise
Brandon University,Canada
Budapest University of Technology and Economics,Hungary
Burnet Institute,Australia
CERN,Switzerland
CNRS,France
CSIRO,Australia
Ca' Foscari University of Venice,Italy
Cairo University,Egypt
California State University Channel Islands,United States
California State University at Los Angeles,USA
Campus Universitário de Santiago,Portugal
Care and Public Health Research Institute (CAPHRI),The Netherlands
Case Western Reserve University,USA
Catholic University,Italy
Catholic University and Complexity Lab in Economics,Italy
Catholic University of Rome,Italy
Central European University,Hungary
Central South University,China
Central University of Finance and Economics,China
Changsha University of Science and Technology,China
Changshu Institute of Technology,China
Chaoyang University of Technology,Taiwan
China University of Petroleum (Huadong),China
Chinese Academic of Sciences,China
Chinese Academy of Science,China
Chongqing University,China
Chongqing University of Posts and Telecommunications,China
Chongqing University of Technology,China
Christ University,India
Christian-Albrechts-University,Germany
Chung Yuan Christian University,Taiwan
Chuo University,Japan
City University London,UK
City University of New York,United States
Claremont Graduate University,USA
Clausthal University of Technology,Germany
Copenhagen Business School,Denmark
Corvinus University of Budapest,Hungary
Coventry University,U.K.
Cranfield University,U.K.
Creighton University,United States
Curtin University,Australia
Daffodil International University (DIU),Bangladesh
Dakota State University,USA
Dalian Maritime University,China
Dalian Minzu University,China
Dalian University of Technology,China
Deakin University,Australia
Delft University of Technology,Sweden
Denison University,United States
Department of Sociology & Inter-University Center for Social Science Theory and Methodology,The Netherlands
Dongbei University of Finance & Economics,China
Donghua University,China
Duquesne University,United States
ETH Zürich,Switzerland
East Carolina University,USA
Edinboro University,USA
Edinburgh Napier University,U.K.
Eindhoven University of Technology,The Netherlands
Eotvos Lorand University Faculty of Social Sciences,Hungary
Epidemiological Research and Adolescence Health Center Unit; Mexican Institute of Social Security,Mexico
Erasmus University Rotterdam,the Netherlands
Escuela Universitaria de Estadística,Spain
Eötvös Loránd University,Hungary
Federal University of Amazonas,Brazil
Federal University of Bahia,Federal University of Bahia
Federal University of Minas Gerais,Brazil
Federal University of Rio de Janeiro,Brazil
Federation University Australia,Australia
Ferdowsi University of Mashhad,Iran
Flinders University,Australia
Florida International University,USA
Fontys University of Applied Sciences,The Netherlands
Free University,Netherlands
Free University Berlin,Germany
Fujian Normal University,China
Fujian University of Technology,China
Fukuoka Institute of Technology,Japan
Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base,USA
Fuzhou University,China
GESIS - Leibniz Institute for the Social Sciences,Germany
GLA University,India
Gazi University,Turkey
Georg-August-Universitaet,Germany
Georgia State University,USA
Georgia State University Atlanta,USA
Ghent University,Belgium
Google,USA
Graz University of Technology 8 Know-Center,Austria
Griffith University,Australia
Guangdong University of Foreign Studies,China
Guangdong University of Technology,China
Guangzhou University,China
Guilin University of Electronic Technology,China
Gwangju Institute of Science and Technology (GIST),South Korea
HP Labs,USA
Hangzhou Dianzi University,China
Hangzhou Normal University,China
Hanoi University of Science and Technology,Vietnam
Hawassa University,Ethiopia
Hebei Normal University,China
Hefei University of Technology,China
Helsinki University of Technology,Finland
Henan Polytechnic University,China
Henan University of Economics and Law,China
Hiroshima University,Japan
Hofstra University,USA
Hokkaido University,Japan
Hosei University,Japan
Huazhong University of Science and Technology,China
Humboldt-Universität zu Berlin,Germany
Hungarian Academy of Sciences,Hungary
Hungary and Eötvös Loránd University of Sciences,Hungary
IBM,USA
ICREA-Universitat Pompeu Fabra,Spain
IMT School for Advanced Studies,Italy
ISPA- Instituto Universitário de Ciências Psicológicas,Portugal
IT University Copenhagen,Copenhagen Denmark
Idiap Research Institute,Switzerland
Illinois Institute of Technology,USA
Indian Institute of Engineering Science and Technology,India
Indian Institute of Information Technology,India
Indian Institute of Management,India
Indian Institute of Science,India
Indian Institute of Space Science and Technology,India
Indian Institute of Technology Patna,India
Indian Statistical Institute,India
Indraprastha Institute of Information Technology Delhi,India
Inner Mongolia University,CN
Institut für Statistik Ludwigs-Maximilians-Universität München,Germany
Institute for Service Marketing and Tourism,Austria
Institute for Statistics and Mathematics,Austria
Institute of Automation,China
Institute of High Performance Computing,Singapore
Institute of Informatics and Telematics of CNR,Italy
Institute of Information Science,Taiwan
Institute of Scientific and Technological Communication & Information in Health,Brazil
Institute of Smart Healthcare Systems,China
Institute of Sociology,Taiwan
Institute of Statistical Science,Taiwan
Instituto de Telecomunicações,Portugal
International Institute of Information Technology,India
International University of Japan,Japan
Ionian University,Greece
Iowa State University,USA
Islamic Azad University,Iran
Islamic University of Technology (IUT),Bangladesh
Istanbul Bilgi University,Turkey
Jacobs University,Germany
Jadavpur University,India
Jagiellonian University,Poland
Japan Women’s University,Japan
Jiangsu University,China
Jiangsu University of Science and Technology,China
Jining Medical University,China
Johannes Kepler University,Austria
Julius-Maximilians-University Würzburg,Germany
K. N. Toosi University of Technology,Iran
Kafrelsheikh University,Egypt
Kennesaw State University,USA
Khalifa University,United Arab Emirates
King Abdul Aziz University,Saudi Arabia
King Abdullah University of Science and Technology,Saudi Arabia
King Faisal University,Saudi Arabia
King Mongkut’s University of Technology Thonburi,Thailand
King Saud University,Saudi Arabia
Kozminski University,Poland
Kyushu University,Japan
Károli Gáspár University of the Reformed Church,Hungary
La Trobe University,Australia
Lahore University of Management and Sciences,Pakistan
Lakehead University,Canada
Lanzhou University,China
Leibniz University Hannover,Germany
Liaoning Normal University,China
Linköping University,Sweden
Linnaeus University,Sweden
Lipscomb University,United States
Liverpool John Moores University,U.K.
London School of Economics and Political Science,United Kingdom
London South Bank University,U.K.
Los Alamos National Laboratory,USA
Los Andes University,Colombia
Louisiana State University,USA
Louisiana Tech University,USA
Lovely Professional University,Austria
Ludong University,China
L’Università della Svizzera Italiana,Switzerland
Macau University of Science and Technology,China
Macquarie Univeristy,Australia
Mahidol University,Thailand
Majmaah University,Saudi Arabia
Manchester Metropolitan University,UK
Manonmaniam Sundaranar University,India
Massachusetts Institute of Technology,USA
Max-Planck Institute for Informatics,Germany
Mediterranea University of Reggio Calabria,Calabria
Mercer University,USA
Michigan Technological University,USA
Microsoft,United States
Middle Tennessee State University,United States
Ming Chi University of Technology,Taiwan
Mississippi State University,USA
Muroran Institute of Technology,Japan
NIVEL: Netherlands Institute for Health Services Research,The Netherlands
Nagaoka University of Technology,Japan
Nanjing Agricultural University,China
National Chengchi University,ROC
National Chi Nan University,Taiwan
National Chin-Yi University of Technology,Taiwan
National Development and Research Institute,United States
National Dong Hwa University,Taiwan
National Human Genome Research Institute,United States
National Institute of Technology,India
National Institute of Technology (NIT),India
National Institute of Technology Jamshedpur,India
National Institute of Technology at Durgapur,India
National Institute of Technology at Patna,India
National Institutes of Health,United States
National Taipei University,Taiwan
National Taiwan Normal University,ROC
National University of Computer and Emerging Sciences,Pakistan
National University of Defense Technology,China
National University of Ireland,Ireland
National University of Ireland Galway,Ireland
National University of Modern Languages,Pakistan
Naxys – University of Namur,Belgium
Netherlands Defense Academy,The Netherlands
Netherlands Institute for the Study of Crime and Law enforcement (NSCR),The Netherlands
New England Complex Systems Institute,United States
New Jersey Institute of Technology,USA
New York Institute of Technology,US
Ningxia University,China
Nipissing University,Canada
Nokia Bell Labs,USA
North China Electric Power University,China
North Dakota State University,United States
Northeast Normal University,China
Northumbria University,U.K.
Northwest Normal University,China
Norwegian University of Science and Technology,Norway
Nottingham Trent University,UK
Oakland University,USA
Ocean University of China,China
Old Dominion University,USA
Open University,U.K.
Open University of Catalonia,Spain
Open University of Israel,Open University of Israel
Oregon Research Institute,United States
Oxford University,United Kingdom
PLA Strategic Support Force Information Engineering University,China
Pace University,United States
Pacific Northwest National Laboratory,USA
Penn State University,United States
Polytechnic School University of Alcalá,Spain
Poznan University of Technology,Poland
Pázmány Péter Catholic University,1088 Hungary
Qilu University of Technology,China
Qingdao Academy of Intelligent Industries,China
Queensland University of Technology,Australia
Qufu Normal University,China
RCC Institute of Information Technology,India
RWTH Aachen University,Germany
Radboud Universiteit Nijmegen,The Netherlands
Rennselaer Polytechnic Institute,USA
Rio de Janeiro State University,Brazil
Rowan University,USA
Ruhr-Universität Bochum,Germany
San José State University,United States
Santa Clara University,USA
Santa Fe Institute,USA
Sapienza Universitá di Roma,Italy
Sejong University,China
Semmelweis University,1083 Hungary
Shaanxi Normal University,China
Shahrekord University,Iran
Shanghai Normal University,China
Shanghai Polytechnic University,China
Shanghai University,China
Shanghai University of Electric Power,China
Shanghai University of International Business and Economics,China
Shenyang Ligong University,China
Shiga University,Japan
Shih Hsin University,Taiwan
Shihezi University,China
Shiraz University,Iran
Shiraz University of Technology,Iran
Sichuan University,China
Singapore University of Technology and Design,Singapore
Sohar University,Oman
Soochow University,China
South China Normal University,China
South China University of Technology,China
Southeast University,China
Southern Illinois University,USA
Southern Methodist University,United States
Southern University of Science and Technology,China
Southwest Jiaotong University,China
Southwestern University of Finance and Economics,China
St. Francis Xavier University,Canada
St. Petersburg State University,Russia
State University of New York at Buffalo,United States
State University of New York at Stony Brook,USA
State University of Southwestern of Bahia,State University of Southwestern of Bahia
Stockholm University,Sweden
Stockholm University and Research Institute of Industrial Economics (IFN),Sweden
Stockholm University/Karolinska Institutet,Sweden
Sun Yat-Sen University,China
Supreme Knowledge Foundation Group of Institutions,India
Swansea University,U.K.
Swinburne University of Technology,Australia
Syracuse University,USA
Taif University,Saudi Arabia
Tampere University,Finland
Technical University of Munich,Germany
Technische Universiteit Eindhoven,The Netherlands
Technological University Dublin,Ireland
Tel-Aviv University,Israel
Telecom ParisTech,France
Telefónica Research,Spain
Temple University,United States
Tennessee State University,USA
Texas Tech University,United States
Texas Woman’s University,USA
The British University in Egypt,Egypt
The Hebrew University,Israel
The State University of New Jersey,USA
Tianjin University,China
Tianjin University of Finance and Economics,China
Tohoku University,Japan
Tokushima University,Japan
Tokyo International University,Japan
Tulane University,United States
Tunghai University,Taiwan
U.S. Army Engineer Research and Development Center,USA
U.S. Army Research Laboratory,USA
UMR151 IRD/Aix-Marseille Université,Sénégal
US Army Research Institute for the Behavioral and Social Sciences,USA
Umeå University,Sweden
United States Military Academy,United States
Univeristy College Dublin,Ireland
Universidad Autónoma de Madrid,Spain
Universidad Carlos III de Madrid,Spain
Universidad Católica,Paraguay
Universidad Nacional Autónoma de México,Mexico
Universidad Nacional del Sur (UNS),Argentina
Universidad Politécnica de Madrid,Spain
Universidad de Ibagué,Colombia
Universidad de Los Andes,Venezuela
Universidad de Sevilla,Spain
Universidade Estadual Paulista,Brazil
Universidade Federal Rural de Pernambuco,Brazil
Universidade Federal do Rio Grande (FURG),Brazil
Universidade Federal do Rio de Janeiro,Brazil
Universidade Técnica de Lisboa (TULisbon),Portugal
Universidade da Coruña,Spain
Universidade de São Paulo,Brazil
Universitat Autònoma de Barcelona,Spain
Universitat Autònoma de Barcelona (UAB),Spain
Universitat Politècnica de Catalunya,Spain
Universitat Pompeu Fabra,Spain
Universitat de Barcelona,Spain
Universite de Montreal,Canada
Universite de Toulouse le Mirail,France
Universiteit van Amsterdam,The Netherlands
University College Dublin,Ireland
University Minnesota,United States
University Osnabrück,Germany
University at Albany,United States
University of Aizu,Japan
University of Alabama,USA
University of Alcalá,Spain
University of Alzahra,Tehran
University of Applied Labour Studies,Germany
University of Arkansas,USA
University of Aveiro,Portugal
University of Avignon,France
University of Barcelona,Spain
University of Bielefeld,Germany
University of Bologna,Italy
University of Brescia,Italy
University of Calabria,Italy
University of Calcutta,India
University of Carthage,Tunisia
University of Central Lancashire,UK
University of Chester,UK
University of Cincinnati,United States
University of Cologne,Germany
University of Colorado,United States
University of Colorado Denver,United States
University of Debrecen,Hungary
University of Denver,USA
University of Derby,U.K.
University of Eastern Finland,Finland
University of Economics in Katowice,Poland
University of Edinburgh,United Kingdom
University of Electro-Communications,Japan
University of Engineering and Management,India
University of Erlangen-Nuremberg,Germany
University of Foggia,Italy
University of Fribourg,Switzerland
University of Geneva,Switzerland
University of Gent,Belgium
University of Girona,Spain
University of Gothenburg,Sweden
University of Greenwich,United Kingdom
University of Guanajuato,México
University of Gujrat,Pakistan
University of Hawaii at Manoa,USA
University of Houston,United States
University of Hyogo,Japan
University of Idaho,United States
University of Illinois at Urbana–Champaign,USA
University of Indiana Bloomington,USA
University of Isfahan,Iran
University of Italian Switzerland,Switzerland
University of Joensuu,Finland
University of Jyväskylä,University of Jyväskylä
University of Kalyani,India
University of Karlsruhe (TH),Germany
University of Kerala,India
University of Klagenfurt,Austria
University of Lausanne,Switzerland
University of Leicester,U.K.
University of Leuven,Belgium
University of Ljubljana,Slovenia
University of London,UK
University of Los Andes,Colombia
University of Louisville,United States
University of Lugano,Switzerland
University of Lugano and School of Management,Colombia
University of Macau,China
University of Macedonia,Greece
University of Maribor,Slovenia
University of Maryand,MD
University of Massachusetts,United States
University of Massachusetts Medical School,United States
University of Massachusetts at Amherst,USA
University of Massachusetts at Boston,USA
University of Massachusetts at Dartmouth,USA
University of Mississippi,United States
University of Missouri,USA
University of Missouri—St. Louis,United States
University of Munich,Germany
University of Naples,Italy
University of Naples Federico II,Italy
University of Navarra,Spain
University of Nebraska Omaha,USA
University of Neuchâtel,Switzerland
University of New South Wales,Australia
University of Nijmegen,The Netherlands
University of North Texas,United States
University of Oulu,Finland
University of Oviedo,Spain
University of Paris-Dauphine,France
University of Porto,Portugal
University of Salento,Italy
University of San Francisco,United States
University of Sargodha,Pakistan
University of Science and Technology Beijing,China
University of Science and Technology of China,China
University of Silesia,Poland
University of Social Sciences and Humanities,Poland
University of South Australia,Australia
University of South Carolina,USA
University of South Wales,U.K.
University of Southern Queensland,Australia
University of St. Gallen,Switzerland
University of Stavanger,Norway
University of São Paulo,Brazil
University of Tehran,Iran
University of Thessaly,Greece
University of Torino,Italy
University of Trieste,Italy
University of Turin,Italy
University of Turku,Finland
University of Udine,Italy
University of Utrecht,The Netherlands
University of Versailles,France
University of Western Ontario,Canada
University of Westminster,UK
University of Wisconsin-Madison,USA
University of Wisconsin-Milwaukee,USA
University of Zadar,Croatia
University of Zaragoza,Spain
University of the West of England,U.K.
University of the Witwatersrand,South Africa
University of Örebro,Sweden
Università Cattolica del Sacro Cuore,Italy
Università Cattolica del Sacro Cuore and Transcrime,Italy
Università degli Studi di Brescia,Italy
Università degli Studi di Palermo,Italy
Università degli Studi di Torino,Italy
Università degli Studi di Trento,Russia
Università di Bologna,Italy
Università di Milano-Bicocca,Italy
Università di Pavia,Italy
Università di Pisa,Italy
Universität Bern,Switzerland
Universität Dortmund,Germany
Universität Leipzig,Germany
Universität Münster,Germany
Universität Passau,Germany
Universität Siegen,Germany
Université Catholique de Louvain,Belgium
Université Internationale de Rabat,Morocco
Université Paris 2,France
Université Paris Descartes,France
Université Paris-Dauphine,France
Université Toulouse Capitole,France
Université catholique de Louvain,Belgium
Université de Caen,France
Université de Montréal,Canada
Université de la Méditerranée,France
Université du Québec à Montréal,Canada
Utah State University,United States
VU University Medical Center,The Netherlands
Villanova University,United States
Virginia Polytechnic Institute and State University,United States
Visva-Bharati University,India
Vrije Universiteit,The Netherlands
Wageningen University,The Netherlands
Wake Forest School of Medicine,USA
Wake Forest University,USA
Waterford Institute of Technology,IE
Wayne State University,USA
West Virginia University,USA
Western Paraná State University (UNIOESTE),Brazil
Wrocław University of Science and Technology,Poland
Xiamen University,China
Xidian University,China
Xi’an Jiaotong University,China
Xi’an University of Technology,China
Yale Institute for Network Science and Université Laval,USA
Yanshan University,China
Yantai University,China
Yarmouk University,Jordan
Yokohama National University,Japan
Yonsei university,Republic of Korea
Yuan Ze University,Taiwan
Zagazig University,Egypt
Zayed University,United Arab Emirates
Zhejiang Normal University,China
Zhejiang Sci-Tech University,China
Zhengzhou University,China
Zhongnan University of Economics and Law,China
University of Electronic Science and Technology of China,China
