institution,region,countryabbrv
AIT Austrian Institute of Technology GmbH,europe,at
AUEB,europe,gr
Aalborg University,europe,dk
Aalto University,europe,fi
Aarhus University,europe,dk
Aberystwyth University,europe,uk
Academia Sinica,asia,tw
Airbnb,northamerica,us
Aix Marseille University,europe,fr
Ajou University,asia,kr
Albert Ludwig's University of Freiburg,europe,de
Alexandria University,africa,eg
Alibaba Group,asia,cn
Allama Iqbal Open University,asia,pk
Alzahra University,asia,ir
Amazon Inc.,northamerica,us
American University in Cairo,africa,eg
American University of Beirut,asia,lb
Amirkabir University of Technology (Polytechnic of Tehran),asia,ir
Amity University,asia,in
Anhui Normal University,asia,cn
Anhui University,asia,cn
Argonne National Laboratory,northamerica,us
Ariel University,asia,il
Athens University of Applied Sciences,europe,gr
Australian National University,australasia,au
Autonomous University of Barcelona,europe,es
Autonomous University of Madrid,europe,es
Avignon University,europe,fr
Azarbaijan Shahid Madani University,asia,ir
BITS Pilani,asia,in
BUET,asia,bd
Babeş Bolyai University,europe,ro
Banasthali Vidyapith,asia,in
Bar Ilan University,asia,il
Bar-Ilan University,asia,il
Barcelona University,europe,es
Barry University,northamerica,us
Bauhaus University Weimar,europe,de
Beihang University,asia,cn
Beijing Institute of Technology,asia,cn
Beijing Jiaotong University,asia,cn
Beijing University of Chemical Technology,asia,cn
Beijing University of Civil Engineering and Architecture,asia,cn
Beijing University of Posts and Telecommunications,asia,cn
Beijing University of Technology,asia,cn
Belarusian State University of Informatics and Radioelectronics,europe,by
Ben Gurion University of the Negev,asia,il
Ben-Gurion University of the Negev,asia,il
Bennett University,asia,in
Bentley University,northamerica,us
Bergische University Wuppertal,europe,de
Berlin Institute of Technology,europe,de
Bielefeld University,europe,de
Bilkent University,asia,tr
Birkbeck University of London,europe,uk
Bocconi University,europe,it
Boise State University,northamerica,us
Bosphorus University,asia,tr
Brandenburg University of Technology,europe,de
Brandon University,canada,ca
Brno University of Technology,europe,cz
Brunel University London,europe,uk
Budapest University of Technology and Economics,europe,hu
Bundeswehr University Munich,europe,de
Burnet Institute,australasia,au
CERN,europe,ch
CISPA Helmholtz Center,europe,de
CMI,asia,in
CNRS,europe,fr
CRIStAL,europe,fr
CSIRO,australasia,au
CWI,europe,nl
Ca' Foscari University of Venice,europe,it
Cairo University,africa,eg
California State University Channel Islands,northamerica,us
California State University at Long Beach,northamerica,us
California State University at Los Angeles,northamerica,us
Cardiff University,europe,uk
Care and Public Health Research Institute (CAPHRI),europe,nl
Carleton University,canada,ca
Case Western Reserve University,northamerica,us
Catholic University,southamerica,py
Catholic University and Complexity Lab in Economics,europe,it
Catholic University of Louvain,europe,be
Catholic University of Rome,europe,it
Catholic University of Sacred Heart,europe,it
Catholic University of the Sacred Heart and Transcrime,europe,it
Central China Normal University,asia,cn
Central European University,europe,hu
Central South University,asia,cn
Central University of Finance and Economics,asia,cn
Chalmers/GU,europe,se
Changsha University of Science and Technology,asia,cn
Changshu Institute of Technology,asia,cn
Chaoyang University of Technology,asia,tw
Charles University,europe,cz
China Academy of Electronics and Information Technology,asia,cn
China University of Petroleum,asia,cn
Chinese Academy of Sciences,asia,cn
Chinese University of Hong Kong,asia,hk
Chongqing University,asia,cn
Chongqing University of Posts and Telecommunications,asia,cn
Chongqing University of Technology,asia,cn
Christ University,asia,in
Christian-Albrechts-University,europe,de
Chulalongkorn University,asia,th
Chung Yuan Christian University,asia,tw
Chuo University,asia,jp
City University London,europe,uk
City University of Hong Kong,asia,hk
City University of London,europe,uk
City University of New York,northamerica,us
Claremont Graduate University,northamerica,us
Clausthal University of Technology,europe,de
Coach University,asia,tr
Concordia University,canada,ca
Copenhagen Business School,europe,dk
Corvinus University of Budapest,europe,hu
Coventry University,europe,uk
Cranfield University,europe,uk
Creighton University,northamerica,us
Curtin University,australasia,au
Cyprus University of Technology,europe,cy
Czech Technical University,europe,cz
DAIICT,asia,in
DTU,europe,dk
Daffodil International University (DIU),asia,bd
Dakota State University,northamerica,us
Dalhousie University,canada,ca
Dalian Maritime University,asia,cn
Dalian Minzu University,asia,cn
Dalian University of Technology,asia,cn
De La Salle University,asia,ph
Deakin University,australasia,au
Delft University of Technology,europe,se
Denison University,northamerica,us
Digital Research Institute,asia,cn
Dongbei University of Finance & Economics,asia,cn
Donghua University,asia,cn
Dublin Institute of Technology,europe,ie
Duquesne University,northamerica,us
Durham University,europe,uk
Dutch Institute for Social Science Research (SCP),europe,nl
EPFL,europe,ch
ETH Zurich,europe,ch
ETS Montreal,canada,ca
EURECOM,europe,fr
East Carolina University,northamerica,us
Ecole Normale Superieure,europe,fr
Edinboro University,northamerica,us
Edinburgh Napier University,europe,uk
Eindhoven University of Technology,europe,nl
Eotvos Lorand University Faculty of Social Sciences,europe,hu
Epidemiological Research and Adolescence Health Center Unit; Mexican Institute of Social Security,northamerica,mx
Erasmus University Rotterdam,europe,nl
Eötvös Loránd University,europe,hu
FU Berlin,europe,de
Federal University of Amazonas,southamerica,br
Federal University of Bahia,southamerica,br
Federal University of Minas Gerais,southamerica,br
Federal University of Rio Grande,southamerica,br
Federal University of Rio de Janeiro,southamerica,br
Federal University of Viçosa,southamerica,br
Federation University Australia,australasia,au
Ferdowsi University of Mashhad,asia,ir
Flinders University,australasia,au
Florida International University,northamerica,us
Fontys University of Applied Sciences,europe,nl
Free University,europe,nl
Free University Berlin,europe,de
Free University of Brussels,europe,be
Freie Universitaet Berlin,europe,de
Friedrich Schiller University Jena,europe,de
Fudan University,asia,cn
Fujian Normal University,asia,cn
Fujian University of Technology,asia,cn
Fukuoka Institute of Technology,asia,jp
Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base,northamerica,us
Fuzhou University,asia,cn
GESIS - Leibniz Institute for the Social Sciences,europe,de
GLA University,asia,in
Galgotias University,asia,in
Gazi University,asia,tr
Georg-August-Universitaet,europe,de
Georgia State University,northamerica,us
Georgia State University Atlanta,northamerica,us
German Institute for Economic Research (DIW) Berlin,europe,de
Ghent University,europe,be
Goethe University Frankfurt,europe,de
Goldsmiths University of London,europe,uk
Google,northamerica,us
Graduate Institute Geneva,europe,ch
Graz University of Technology,europe,at
Graz University of Technology 8 Know-Center,europe,at
Griffith University,australasia,au
Guangdong University of Foreign Studies,asia,cn
Guangdong University of Technology,asia,cn
Guangzhou University,asia,cn
Guilin University of Electronic Technology,asia,cn
Gwangju Institute of Science and Technology (GIST),asia,kr
HEC Montreal,canada,ca
HKUST,asia,hk
HP Labs,northamerica,us
Hacettepe University,asia,tr
Hamburg University of Technology,europe,de
Hangzhou Dianzi University,asia,cn
Hangzhou Normal University,asia,cn
Hanoi University of Science and Technology,asia,vn
Hanyang University,asia,kr
Harbin Institute of Technology,asia,cn
Hasso Plattner Institute,europe,de
Hawassa University,africa,et
Hebei Normal University,asia,cn
Hebrew University of Jerusalem,asia,il
Hefei University of Technology,asia,cn
Heidelberg University,europe,de
Helsinki University of Technology,europe,fi
Henan Polytechnic University,asia,cn
Henan University of Economics and Law,asia,cn
Heriot-Watt University,europe,uk
Hiroshima University,asia,jp
Hofstra University,northamerica,us
Hokkaido University,asia,jp
Hong Kong Baptist University,asia,hk
Hosei University,asia,jp
Huazhong University of Science and Technology,asia,cn
Humboldt University of Berlin,europe,de
Hunan University,asia,cn
Hungarian Academy of Sciences,europe,hu
Hungary and Eötvös Loránd University of Sciences,europe,hu
IBM,northamerica,us
IIIT Bangalore,asia,in
IIIT Delhi,asia,in
IIIT Hyderabad,asia,in
IISc Bangalore,asia,in
IIT (BHU) Varanasi,asia,in
IIT Bhubaneswar,asia,in
IIT Bombay,asia,in
IIT Delhi,asia,in
IIT Gandhinagar,asia,in
IIT Guwahati,asia,in
IIT Hyderabad,asia,in
IIT Indore,asia,in
IIT Jodhpur,asia,in
IIT Kanpur,asia,in
IIT Kharagpur,asia,in
IIT Madras,asia,in
IIT Mandi,asia,in
IIT Patna,asia,in
IIT Roorkee,asia,in
IIT Ropar,asia,in
IMDEA Networks Institute,europe,es
IMDEA Software Institute,europe,es
IMSc,asia,in
IMT School for Advanced Studies,europe,it
IPI PAN,europe,pl
IPM,asia,ir
ISC-PIF,europe,fr
ISPA University Institute of Psychological Sciences,europe,pt
IST Austria,europe,at
IT University Copenhagen,europe,dk
IT University of Copenhagen,europe,dk
IUST,asia,ir
Idiap Research Institute,europe,ch
Illinois Institute of Technology,northamerica,us
Imperial College London,europe,uk
Indian Institute of Engineering Science and Technology,asia,in
Indian Institute of Information Technology,asia,in
Indian Institute of Management,asia,in
Indian Institute of Science,asia,in
Indian Institute of Space Science and Technology,asia,in
Indian Institute of Technology Patna,asia,in
Indian Statistical Institute,asia,in
Indraprastha Institute of Information Technology Delhi,asia,in
Inner Mongolia University,asia,cn
Institut Barcelona d'Estudis Internacionals (IBEI),europe,es
Institut Mines-Tlcom,europe,fr
Institute for Advanced Studies in Basic Sciences,asia,ir
Institute for Futures Studies,europe,se
Institute for Infocomm Research (I2R),asia,sg
Institute for Scientific Interchange (ISI) Foundation,europe,it
Institute for Service Marketing and Tourism,europe,at
Institute for Statistics and Mathematics,europe,at
Institute of Automation,asia,cn
Institute of Econometrics,europe,pl
Institute of Economic Analysis and Barcelona GSE,europe,es
Institute of Forensic Science,asia,cn
Institute of Health Policy and Management,europe,nl
Institute of High Performance Computing,asia,sg
Institute of Informatics and Telematics of CNR,europe,it
Institute of Information Science,asia,tw
Institute of Management Sciences,asia,pk
Institute of Mathematics,europe,si
Institute of Political Studies in Paris,europe,fr
Institute of Scientific and Technological Communication & Information in Health,southamerica,br
Institute of Smart Healthcare Systems,asia,cn
Institute of Sociology,asia,tw
Institute of Statistical Science,asia,tw
International Institute of Information Technology,asia,in
International University of Japan,asia,jp
International University of Rabat,africa,ma
International University of Rabat,africa,ma
Interuniversity Center for Social Science Theory and Methodology,europe,nl
Ionian University,europe,gr
Iowa State University,northamerica,us
Islamic Azad University,asia,ir
Islamic University of Technology (IUT),asia,bd
Istanbul Bilgi University,asia,tr
Istanbul Technical University,asia,tr
Izmir Institute of Technology,asia,tr
JKU Linz,europe,at
JUST,asia,jo
Jacobs University,europe,de
Jacobs University Bremen,europe,de
Jadavpur University,asia,in
Jagiellonian University,europe,pl
Japan Advanced Institute of Science and Technology,asia,jp
Japan Women's University,asia,jp
Jean Monnet University,europe,fr
Jiangsu University,asia,cn
Jiangsu University of Science and Technology,asia,cn
Jining Medical University,asia,cn
Johannes Kepler University,europe,at
Julius Maximilians University Würzburg,europe,de
K. N. Toosi University of Technology,asia,ir
KAIST,asia,kr
KAUST,asia,sa
KMUTNB,asia,th
KTH - Royal Institute of Technology,europe,se
KTH Royal Institute of Technology,europe,se
KU Leuven,europe,be
Kafrelsheikh University,africa,eg
Kanagawa Institute of Technology,asia,jp
Karlsruhe Institute of Technology,europe,de
Keio University,asia,jp
Kennesaw State University,northamerica,us
Khalifa University,asia,ae
King Abdul Aziz University,asia,sa
King Abdulaziz University,asia,sa
King Abdullah University of Science and Technology,asia,sa
King Faisal University,asia,sa
King Juan Carlos University,europe,es
King Mongkut's University of Technology Thonburi,asia,th
King Saud University,asia,sa
King's College London,europe,uk
Korea University,asia,kr
Kozminski University,europe,pl
Kyoto University,asia,jp
Kyung Hee University,asia,kr
Kyungpook National University,asia,kr
Kyushu University,asia,jp
Károli Gáspár University of the Reformed Church,europe,hu
LMU Munich,europe,de
LUMS,asia,pk
La Trobe University,australasia,au
Lahore University of Management and Sciences,asia,pk
Lakehead University,canada,ca
Lancaster University,europe,uk
Lanzhou University,asia,cn
Lebanese American University,asia,lb
Leibniz University Hannover,europe,de
Leiden University,europe,nl
Lev Academic Center,asia,il
Liaoning Normal University,asia,cn
Linköping University,europe,se
Linnaeus University,europe,se
Lipscomb University,northamerica,us
Lisbon University,europe,pt
Liverpool John Moores University,europe,uk
London School of Economics and Political Science,europe,uk
London South Bank University,europe,uk
Los Alamos National Laboratory,northamerica,us
Loughborough University,europe,uk
Louisiana State University,northamerica,us
Louisiana Tech University,northamerica,us
Lovely Professional University,europe,at
Ludong University,asia,cn
Ludwigs Maximilians University Munich,europe,de
Lund University,europe,se
Luxembourg Institute of Science and Technology,europe,lu
MIT Media Lab,northamerica,us
Maastricht University,europe,nl
Macau University of Science and Technology,asia,cn
Macquarie Univeristy,australasia,au
Macquarie University,australasia,au
Mahidol University,asia,th
Majmaah University,asia,sa
Manchester Metropolitan University,europe,uk
Manonmaniam Sundaranar University,asia,in
Masaryk University,europe,cz
Masdar Institute,asia,ae
Massachusetts Institute of Technology,northamerica,us
Massey University,australasia,nz
Max Planck Institute,europe,de
Max-Planck Institute for Informatics,europe,de
McGill University,canada,ca
McMaster University,canada,ca
Mediterranea University of Reggio Calabria,europe,it
Memorial University of Newfoundland,canada,ca
Mercer University,northamerica,us
Michigan Technological University,northamerica,us
Microsoft,northamerica,us
Middle East Technical University,asia,tr
Middle Tennessee State University,northamerica,us
Middlesex University,europe,uk
Ming Chi University of Technology,asia,tw
Mississippi State University,northamerica,us
Monash University,australasia,au
Montreal university,canada,ca
Muroran Institute of Technology,asia,jp
NIVEL: Netherlands Institute for Health Services Research,europe,nl
NTNU,europe,no
NTUA,europe,gr
NWPU,asia,cn
NYU Shanghai,asia,cn
Nagaoka University of Technology,asia,jp
Nanjing Agricultural University,asia,cn
Nanjing University,asia,cn
Nanyang Technological University,asia,sg
National Autonomous University of Mexico,northamerica,mx
National Cheng Kung University,asia,tw
National Chengchi University,asia,tw
National Chi Nan University,asia,tw
National Chiao Tung University,asia,tw
National Chin-Yi University of Technology,asia,tw
National Development and Research Institute,northamerica,us
National Dong Hwa University,asia,tw
National Human Genome Research Institute,northamerica,us
National Institute for Environmental Studies,asia,jp
National Institute of Demographic Studies,europe,fr
National Institute of Infectious Diseases Evandro Chagas,southamerica,br
National Institute of Technology,asia,in
National Institute of Technology (NIT),asia,in
National Institute of Technology Jamshedpur,asia,in
National Institute of Technology at Durgapur,asia,in
National Institute of Technology at Patna,asia,in
National Institutes of Health,northamerica,us
National Public Health Institute,europe,fi
National Taipei University,asia,tw
National Taiwan Normal University,asia,tw
National Taiwan University,asia,tw
National Tsing Hua University,asia,tw
National University of Computer and Emerging Sciences,asia,pk
National University of Cordoba,southamerica,ar
National University of Defense Technology,asia,cn
National University of Ireland,europe,ie
National University of Ireland Galway,europe,ie
National University of Modern Languages,asia,pk
National University of Singapore,asia,sg
Naxys – University of Namur,europe,be
Netherlands Defense Academy,europe,nl
Netherlands Institute for the Study of Crime and Law enforcement (NSCR),europe,nl
New England Complex Systems Institute,northamerica,us
New Jersey Institute of Technology,northamerica,us
New University of Lisbon,europe,pt
New York Institute of Technology,northamerica,US
Newcastle University,europe,uk
Ningxia University,asia,cn
Nipissing University,canada,ca
Nokia Bell Labs,northamerica,us
Normal School of Cachan Superior,europe,fr
Normal School of Lyon,europe,fr
Normal School of Rennes,europe,fr
North China Electric Power University,asia,cn
North Dakota State University,northamerica,us
Northeast Normal University,asia,cn
Northumbria University,europe,uk
Northwest Normal University,asia,cn
Norwegian University of Science and Technology,europe,no
Nottingham Trent University,europe,uk
Oakland University,northamerica,us
Ocean University of China,asia,cn
Old Dominion University,northamerica,us
Ontario Tech University,canada,ca
Open University,europe,uk
Open University UK,europe,uk
Open University of Catalonia,europe,es
Open University of Israel,asia,il
Oregon Research Institute,northamerica,us
Osaka University,asia,jp
Oxford University,europe,uk
PLA Strategic Support Force Information Engineering University,asia,cn
POSTECH,asia,kr
PUC-RIO,southamerica,br
PUC-RS,southamerica,br
Pace University,northamerica,us
Pacific Northwest National Laboratory,northamerica,us
Paderborn University,europe,de
