Kevin Crowston,0,Syracuse University
Heinz Schmitz,0,"Hochschule Trier, Trier, Germany"
Ioanna Lykourentzou,0,"Luxembourg Institute of Science and Technology, Esch-sur-Alzette, Luxembourg"
Peter Tolmie,0,"Universität Siegen, University of Siegen, Siegen, Germany"
Rob Procter,0,"University of Warwick, Coventry, United Kingdom"
Mark Rouncefield,0,"Lancaster University, Lancaster, United Kingdom"
Maria Liakata,0,"University of Warwick, Coventry, United Kingdom"
Arkaitz Zubiaga,0,"University of Warwick, Coventry, United Kingdom"
Kiran Garimella,0,"Aalto University, Espoo, Finland"
Gianmarco De Francisci Morales,0,"Qatar Computing Research Institute, Doha, Qatar"
Aristides Gionis,0,"Aalto University, Espoo, Finland"
Michael Mathioudakis,0,"CNRS LIRIS 8 INSA Lyon, Lyon, France"
Weichen Liu,0,"University of California - San Diego, CA, USA"
Sijia Xiao,0,"Georgia Institute of Technology, GA, USA"
Jacob T. Browne,0,"University of California - San Diego, CA, USA"
Ming Yang,1,"Cornell University, NY, USA"
Steven P. Dow,0,"University of California - San Diego, CA, USA"
Fred Morstatter,0,"USC Information Sciences Institute, CA, USA"
Liang Wu 0006,0,"Arizona State University, AZ, USA"
Uraz Yavanoglu,0,"Gazi University, Turkey"
Stephen R. Corman,0,"Arizona State University, AZ, USA"
Huan Liu 0001,0,"Arizona State University, AZ, USA"
Elena Simperl,0,"University of Southampton, United Kingdom"
Neal Reeves,0,"University of Southampton, United Kingdom"
Chris Phethean,0,"University of Southampton, United Kingdom"
Todd Lynes,0,"University of Southampton, United Kingdom"
Ramine Tinati,0,University of Southampton
Chuan Shi,1,"Beijing University of Posts and Telecommunications, Beijing, China"
Jian Liu,1,"Beijing University of Posts and Telecommunications, Beijing, China"
Yiding Zhang,0,"Beijing University of Posts and Telecommunications, Beijing, China"
Binbin Hu,0,"Beijing University of Posts and Telecommunications, Beijing, China"
Shenghua Liu,0,"Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"
Philip S. Yu,0,"University of Illinois at Chicago, Chicago, USA"
Yla R. Tausczik,0,"University of Maryland - College Park, MD, USA"
Rosta Farzan,0,"University of Pittsburgh, PA, USA"
John M. Levine,0,"University of Pittsburgh, PA, USA"
Robert E. Kraut,0,"Carnegie Mellon University, PA, USA"
Lionel P. Robert,0,"University of Michigan, MI, USA"
Andrea Forte,0,"Drexel University, PA, USA"
Claudia Müller 0002,0,"University of Siegen, Siegen, NRW, Germany"
Michael Prilla,0,"Clausthal University of Technology, Clausthal-Zellerfeld, Lower Saxony, Germany"
Adriana S. Vivacqua,0,"Universidade Federal do Rio de Janeiro, UFRJ, RJ, Brazil"
Karim Jabbar,0,"University of Copenhagen, Emil Holms Kanal, København"
Pernille Bjørn,0,"University of Copenhagen, Emil Holms Kanal, København"
Xianqi Yu,0,"Shandong University, Jinan, China"
Yuqing Sun,0,"Shandong University, Jinan, China"
Elisa Bertino,0,"Purdue University, IN, USA"
Xin Li,1,"Shandong University, Jinan, China"
Steve T. K. Jan,0,"Virginia Tech, VA, USA"
Chun Wang,1,"Virginia Tech, VA, USA"
Qing Zhang,1,"Virginia Tech, VA, USA"
Gang Wang 0011,0,"Virginia Tech, VA, USA"
Darshan Santani,0,"Idiap Research Institute, Ecole Polytechnique Federale de Lausanne, Lausanne, Switzerland"
Salvador Ruiz-Correa,0,"IPICYT, San Luis Potosi, SLP, Mexico"
Daniel Gatica-Perez,0,"Idiap Research Institute, Ecole Polytechnique Federale de Lausanne, Lausanne, Switzerland"
Kevin Crowston,0,
Xuefei (Nancy) Deng,0,
Yoram M. Kalman,0,Open University of Israel
Susan Gasson,0,"Drexel University, PA, USA"
Michelle Purcell,0,"Drexel University, PA, USA"
Nargess Tahmasbi,0,"Pennsylvania State University, PA, USA"
Elham Rastegari,0,"University of Nebraska Omaha, NE, USA"
Morten Bay,0,"Center for the Digital Future at the USC Annenberg School, CA, USA"
Yubo Kou,0,"Florida State University, FL, USA"
Colin M. Gray,0,"Purdue University, IN, USA"
Austin L. Toombs,0,"Purdue University, IN, USA"
Robin S. Adams,0,"Purdue University, IN, USA"
Jorge Saldivar,0,"Universidad Católica, Nuestra Señora de la Asunción, Paraguay"
Florian Daniel,0,"Politecnico di Milano, Italy"
Luca Cernuzzi,0,"Universidad Católica, Nuestra Señora de la Asunción, Paraguay"
Fabio Casati,0,"Università degli Studi di Trento, University of Trento, Italy and Tomsk Polytechnic University, Russia"
Salvador Ruiz-Correa,0,"Instituto Potosino de Investigación Científica y Tecnólogica (IPICYT), México"
Itzia Ruiz-Correa,0,"University of Guanajuato, México"
Carlo Olmos-Carrillo,0,"Huapango Media, México"
Fatima Alba Rendon-Huerta,0,"University of Guanajuato, México"
Beatriz Ramirez-Salazar,0,"University of Guanajuato, México"
Laurent Son Nguyen,0,"Idiap Research Institute, Switzerland"
Daniel Gatica-Perez,0,"Idiap Research Institute and Ecole Polytechnique Federal de Lausanne (EPFL), Switzerland"
Djellel Eddine Difallah,0,"New York University, NY, USA"
Alessandro Checco,0,"University of Sheffield, Sheffield, United Kingdom"
Gianluca Demartini,0,"University of Queensland, Brisbane, Australia"
Philippe Cudré-Mauroux,0,"University of Fribourg, Fribourg, Switzerland"
Tiago Santos,1,"Graz University of Technology, Graz, Austria"
Simon Walk,0,"Detego GmbH, Graz, Austria"
Roman Kern,0,"Graz University of Technology 8 Know-Center, Graz, Austria"
Markus Strohmaier,0,"RWTH Aachen University 8 GESIS, Aachen, Germany"
Denis Helic,0,"Graz University of Technology, Graz, Austria"
Jin-Hee Cho,0,"Virginia Polytechnic Institute and State University, VA, USA"
Scott Rager,0,"Raytheon BBN Technologies, MA, USA"
John O'Donovan,0,"University of California - Santa Barbara, California, USA"
Sibel Adali,0,"Rensselaer Polytechnic Institute, NY, USA"
Benjamin D. Horne,0,"Rensselaer Polytechnic Institute, NY, USA"
Oluwaseyi Feyisetan,0,"University of Southampton, UK"
Elena Simperl,0,"University of Southampton, UK"
Qunfang Wu,0,"Syracuse University, NY, USA"
Yisi Sang,0,"Syracuse University, NY, USA"
Yun Huang 0003,0,"Syracuse University, NY, USA"
Lisa Posch,0,"GESIS--Leibniz Institute for the Social Sciences, Germany and Graz University of Technology, Graz, Austria"
Arnim Bleier,0,"GESIS--Leibniz Institute for the Social Sciences, Cologne, Germany"
Clemens Lechner,0,"GESIS--Leibniz Institute for the Social Sciences, Mannheim, Germany"
Daniel Danner,0,"University of Applied Labour Studies, Mannheim, Germany"
Fabian Flöck,0,"GESIS--Leibniz Institute for the Social Sciences, Cologne, Germany"
Markus Strohmaier,0,"RWTH Aachen University, Germany and GESIS -- Leibniz Institute for the Social Sciences, Cologne, Germany"
Ahmed Mourad,0,"School of Computer Science and Information Technology, RMIT University, Melbourne, VIC, Australia"
Falk Scholer,0,"School of Computer Science and Information Technology, RMIT University, Melbourne, VIC, Australia"
Walid Magdy,0,"School of Informatics, The University of Edinburgh, Crichton Street, Edinburgh, United Kingdom"
Mark Sanderson,0,"School of Computer Science and Information Technology, RMIT University, Melbourne, VIC, Australia"
Yla R. Tausczik,0,"University of Maryland - College Park, MD, USA"
Xiaoyun Huang,0,"University of Maryland - College Park, MD, USA"
Darryl Wright,0,"University of Minnesota, MN, USA"
Lucy Fortson,0,"University of Minnesota, MN, USA"
Chris J. Lintott,0,"University of Oxford, UK"
Michael Laraia,0,"University of Minnesota, MN, USA"
Mike Walmsley,0,"University of Oxford, UK"
Andreas Kotsios,0,"Uppsala University, Uppsala, Sweden"
Matteo Magnani,0,"Uppsala University, Uppsala, Sweden"
Davide Vega,0,"Uppsala University, Uppsala, Sweden"
Luca Rossi 0003,0,"IT University Copenhagen, Copenhagen Denmark"
Irina Shklovski,0,"IT University Copenhagen, Copenhagen Denmark"
Xuefei (Nancy) Deng,0,"California State University, CA, USA"
Yoram M. Kalman,0,Open University of Israel
Abdur Rahim Mohammad Forkan,0,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia"
Philip Branch,0,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia"
Prem Prakash Jayaraman,0,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC, Australia"
Andre Ferretto,0,"SP Tech Solutions, Hawthorn, VIC, Australia"
Marika Cifor,0,"University of Washington, Seattle, Washington, USA"
Patricia Garcia,0,"University of Michigan, Ann Arbor, Washington, USA"
Matthew Baucum,0,"University of Southern California, Los Angeles, CA, USA"
Jinshu Cui,0,"University of Southern California, Los Angeles, CA, USA"
Richard S. John,0,"University of Southern California, Los Angeles, CA, USA"
Anne Carolin Fleischmann,0,"University of Southern California, Los Angeles, CA, USA"
Jolanta Aritz,0,"University of Southern California, Los Angeles, CA, USA"
Peter W. Cardon,0,"University of Southern California, Los Angeles, CA, USA"
Kurt Luther,0,"Virginia Tech, VA, USA"
Andrea L. Kavanaugh,0,"Virginia Tech, VA, USA"
Jacob Thebault-Spieker,0,"Virginia Tech, VA, USA"
Judd Antin,0,"Airbnb, USA"
Katie Z. Gach,0,"University of Colorado Boulder, CO, USA"
Jed R. Brubaker,0,"University of Colorado Boulder, CO, USA"
Helen S. Jones,0,"School of Psychology, University of Central Lancashire, Preston, UK"
Wendy Moncur,0,"School of Nursing and Health Sciences, University of Dundee; Duncan of Jordanstone College of Art 8 Design, University of Dundee, UK"
Emily Porter,0,"University of Washington, Seattle, WA, USA"
P. M. Krafft,0,"University of Oxford, UK"
Brian Keegan,0,"University of Colorado, Boulder, CO, USA"
Ofer Arazy,0,"University of Haifa, Haifa, Israel"
Aron Lindberg,0,"Stevens Institute of Technology, NJ, USA"
Shakked Lev,0,"University of Haifa, Haifa, Israel"
Kexian Wu,0,"Stevens Institute of Technology, NJ, USA"
Alex Yarovoy,0,"University of Haifa, Haifa, Israel"
Sanjaya Wijeratne,0,"Holler Technologies, Inc., CA, USA"
Horacio Saggion,0,"Universitat Pompeu Fabra, Barcelona, Spain"
Emre Kiciman,0,"Microsoft Research AI, WA, USA"
Amit P. Sheth,0,"Artificial Intelligence Institute, University of South Carolina, SC, USA"
Konstantin Kobs,0,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Albin Zehe,0,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Armin Bernstetter,0,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Julian Chibane,0,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Jan Pfister,0,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Julian Tritscher,0,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Andreas Hotho,0,"Julius-Maximilians-University Würzburg, Würzburg, Julius Maximilians University Würzburg, Germany"
Yunhe Feng,0,"University of Tennessee, Knoxville, TN, USA"
Zheng Lu 0005,0,"University of Tennessee, Knoxville, TN, USA"
Wenjun Zhou 0001,0,"University of Tennessee, Knoxville, TN, USA"
Zhibo Wang,1,"Wuhan University, Wuhan, Hubei Province, China"
Qing Cao,0,"University of Tennessee, Knoxville, TN, USA"
Joongyum Kim,0,"KAIST, Yuseong-gu, Daejeon, Republic of Korea"
Taesik Gong,0,"KAIST, Yuseong-gu, Daejeon, Republic of Korea"
Bogoan Kim,0,"Ajou University, Yeongtong-gu, Suwon, Republic of Korea"
Jaeyeon Park,0,"Yonsei university, YeonsuGu, Incheon, Republic of Korea"
Woojeong Kim,0,"Ajou University, Yeongtong-gu, Suwon, Republic of Korea"
Evey Huang,0,"Northwestern University, Evanston, IL, USA"
Kyungsik Han,0,"Ajou University, Yeongtong-gu, Suwon, Republic of Korea"
Juho Kim,0,"KAIST, Yuseong-gu, Daejeon, Republic of Korea"
JeongGil Ko,0,"Yonsei University, YeonsuGu, Incheon, Republic of Korea"
Sung-Ju Lee,0,"KAIST, Yuseong-gu, Daejeon, Republic of Korea"
Susan C. Herring,0,"University of Indiana Bloomington, IN, USA"
Ashley R. Dainas,0,"University of Indiana Bloomington, IN, USA"
Alexander Robertson,0,"University of Edinburgh, Edinburgh, Scotland"
Walid Magdy,0,"University of Edinburgh, Edinburgh, Scotland"
Sharon Goldwater,0,"University of Edinburgh, Edinburgh, Scotland"
Sarah Alismail,0,"Claremont Graduate University, CA, USA"
Hengwei Zhang,0,"Claremont Graduate University, CA, USA"
Ericsson Marin,0,"Arizona State University, AZ, USA"
Ruocheng Guo,0,"Arizona State University, AZ, USA"
Paulo Shakarian,0,"Arizona State University, AZ, USA"
Ian D. Wood,0,"Macquarie Univeristy, Balaclava Road, North Ryde, NSW, Australia"
John Glover,0,"AYLIEN LTD., Harmony Court, Harmony Row, Dublin, Ireland"
Paul Buitelaar,0,"National University of Ireland Galway, University Road, Galway, Ireland"
Mohammad Al-Ramahi,0,"College of Business, Texas A&M University-San Antonio, San Antonio, TX, USA"
Cherie Noteboom,0,"College of Business & Information Systems, Dakota State University, Madison, SD, USA"
Tianshu Lyu,0,"Department of Machine Intelligence, Peking University"
Lidong Bing,0,"DAMO Academy, Alibaba Group"
Zhao Zhang,1,Kwai Inc.
Yan Zhang 0004,0,"Department of Machine Intelligence, Peking University"
Sajedul Rahim Talukder,0,"Edinboro University, USA"
Bogdan Carbunar,0,"Florida International University, USA"
Daniel Franzmann,0,"Faculty of Economics and Business, Goethe University Frankfurt, Frankfurt"
Arvid Alexander Eichner,0,"Faculty of Economics and Business, Goethe University Frankfurt, Frankfurt"
Roland Holten,0,"Faculty of Economics and Business, Goethe University Frankfurt, Frankfurt"
Lucas Santos de Oliveira,0,Federal University of Minas Gerais
Pedro O. S. Vaz de Melo,0,Federal University of Minas Gerais
Marcelo S. Amaral,0,State University of Southwestern of Bahia
José Antônio G. Pinho,0,Federal University of Bahia
Pamela J. Wisniewski,0,"University of Central Florida, Orlando, FL"
Karla A. Badillo-Urquiola,0,"University of Central Florida, Orlando, FL"
Zahra Ashktorab,0,"IBM Research AI, Yorktown Heights, NY"
Jessica Vitak,0,"University of Maryland - College Park, MD, USA"
Alex Yarovoy,0,"University of Haifa, Mount Carmel, Haifa, Israel"
Yiftach Nagar,0,"University of Haifa, Mount Carmel, Haifa, Israel"
Einat Minkov,0,"University of Haifa, Mount Carmel, Haifa, Israel"
Ofer Arazy,0,"University of Haifa, Mount Carmel, Haifa, Israel"
Joshua M. Chamberlain,0,"Boise State University, Boise"
Francesca Spezzano,0,"Boise State University, Boise"
Jaclyn J. Kettler,0,"Boise State University, Boise"
Bogdan Dit,0,"Boise State University, Boise"
Amro Khasawneh,0,"Johns Hopkins University, Baltimore, MD"
Kapil Chalil Madathil,0,"Clemson University, Clemson, SC"
Heidi Zinzow,0,"Clemson University, Clemson, SC"
Pamela J. Wisniewski,0,"University of Central Florida, Orlando, FL"
Amal Ponathil,0,"Clemson University, Clemson, SC"
Hunter Rogers,0,"Clemson University, Clemson, SC"
Sruthy Agnisarman,0,"Clemson University, Clemson, SC"
Rebecca Roth,0,"Clemson University, Clemson, SC"
Meera Narasimhan,0,"University of South Carolina, Columbia, SC"
Milad Mirbabaie,0,"Faculty of Business Studies and Economics, University of Bremen, Bremen, Germany"
Felix Brünker,0,"Department of Computer Science and Applied Cognitive Science, University of Duisburg-Essen, Duisburg, NRW, Germany"
Magdalena Wischnewski,0,"Department of Computer Science and Applied Cognitive Science, University of Duisburg-Essen, Duisburg, NRW, Germany"
Judith Meinert,0,"Department of Computer Science and Applied Cognitive Science, University of Duisburg-Essen, Duisburg, NRW, Germany"
Jani Holopainen,0,University of Helsinki
Osmo Mattila,0,"University of Eastern Finland, Yliopistokatu, Joensuu Finland"
Petri Parvinen,0,Aalto University
Essi Pöyry,0,University of Helsinki
Tuure Tuunanen,0,University of Jyväskylä
Sandeep Purao,0,"Bentley University, Waltham, Massachusetts, Waltham, MA, USA"
David M. Murungi,0,"Bentley University, Waltham, Massachusetts, Waltham, MA, USA"
David J. Yates,0,"Bentley University, Waltham, Massachusetts, Waltham, MA, USA"
Simo Järvelä,0,"University of Helsinki, Tampere University,  Aalto University, Finland"
Benjamin Cowley 0001,0,"University of Helsinki, Finland"
Mikko Salminen,0,"Tampere University, Finland"
Giulio Jacucci,0,"University of Helsinki, Finland"
Juho Hamari,0,"Tampere University, Finland"
Niklas Ravaja,0,"University of Helsinki, Finland"
David W. McDonald,0,"Department of Human Centered Design & Engineering, University of Washington"
Mark Zachry,0,"Department of Human Centered Design & Engineering, University of Washington"
Frank L. Greitzer,0,"PsyberAnalytix, Richland, WA USA"
Wanru Li,0,"George Mason University, Fairfax, VA USA"
Kathryn B. Laskey,0,"George Mason University, Fairfax, VA USA"
James D. Lee,0,"George Mason University, Fairfax, VA USA"
Justin Purl,0,Human Resources Research Organization
