name,affiliation
P. Robert Duimering,University of Waterloo
Pablo Piedrahíta,University of Zaragoza
Palakorn Achananuparp,Singapore Management University
Pamela A. Popielarz,University of Illinois at Chicago
Pamela Emanuelson,Dakota State University
Paola Tubaro,University of Greenwich
Paola Velardi,Sapienza University of Rome
Paola Zappa,University of Lugano
Paolo Campana,University of Cambridge
Paolo Parigi,Stanford University
Pascal Sciarini,University of Geneva
Patricia B. Cerrito,University of Louisville
Patrick Doreian,University of Ljubljana
Patrick Janulis,Northwestern University
Patrick Mair,Institute for Statistics and Mathematics
Patrick Park,Northwestern University
Patrick S. Park,Cornell University
Patrizia Vecchi,Washington University in St. Louis
Paul A. Beck,Ohio State University
Paul A. Djupe,Denison University
Paul D. McLean,Rutgers University
Paul Nieuwbeerta,Netherlands Institute for the Study of Crime and Law enforcement (NSCR)
Paulette Lloyd,Indiana University
Pauli Miettinen,University of Eastern Finland
Paulina Preciado,University of Oxford
Pauline Chou,Massachusetts Institute of Technology
Pauline W. Hoffmann,University at Buffalo
Pavel N. Krivitsky,University of Washington
Peng Wang 0002,Swinburne University of Technology
Per Block,ETH Zurich
Pete Jones,University of Manchester
Peter Abell,London School of Economics and Political Science
Peter Borm,Tilburg University
Peter D. Hoff,Duke University
Peter Elliott,Swinburne University of Technology
Peter Kuppens,University of Leuven
Peter McMahan,University of Chicago
Peter Miltner,FU Berlin
Peter Monge,University of Southern California
Peter Mühlau,Trinity College Dublin
Peter P. Groenewegen,NIVEL: Netherlands Institute for Health Services Research
Peter Pal Zubcsek,University of Florida
Peter Totterdell,University of Sheffield
Peter V. Marsden,Harvard University
Peter W. F. Smith,University of Southampton
Peter van der Laan,Netherlands Institute for the Study of Crime and Law enforcement (NSCR)
Petr Matous,University of Sydney
Petter Holme,Tokyo Institute of Technology
Philip A. Sinclair,Manchester Metropolitan University
Philip Andrew Sinclair,Manchester Metropolitan University
Philip Mohr,CSIRO
Philippa E. Pattison,University of Melbourne
Philippa Pattison,University of Sydney
Philippe Ramirez,CNRS
Phillip Bonacich,University of California - Los Angeles
Phillip Schumm,University of Chicago
Pierre Mongeau,University of Quebec in Montreal
Pieter-Paul Verhaeghe,Ghent University
Pietro Panzarasa,Queen Mary University of London
PingSun Leung,University of Hawaii at Manoa
Pip Pattison,University of Melbourne
Poong Oh,University of Pennsylvania
Pritha Dev,Indian Institute of Management
Pádraig Cunningham,University College Dublin
Pádraig Mac Carron,University of Oxford
Pál Czobor,Semmelweis University
Péter Soltész,Catholic University
Qiguang Miao,Xidian University
Qingmai Wang,Massachusetts Institute of Technology
Qiwen Zheng,University of Maryland - College Park
R. Karl Rethemeyer,University at Albany
R. Neelamegham,University of Colorado
Rachel Garshick Kleit,University of Washington
Rachel Sacks-Davis,Burnet Institute
Rachel Stevenson,University of Manchester
Rae Jean Proeschold-Bell,Duke University
Rafael T. Mikolajczyk,University of Bielefeld
Rafael Wittek,University of Groningen
Rafaël Stofer,University Paris Dauphine
Raffaele Vacca,University of Florida
Raihan Razib,State University of New York at Buffalo
Raine Hoover,Stanford University
Ramasuri Narayanam,Indian Institute of Science
Rami Puzis,University of Maryland - College Park
Ramón Flores,University Carlos III of Madrid
Ran Xu,Virginia Polytechnic Institute and State University
Rance P. L. Lee,Chinese University of Hong Kong
Raymond V. Liedka,University of New Mexico
Rebecca C. Kotsonis,Wake Forest University
Rebecca Jenkinson,Burnet Institute
Rebecca Nash,Simon Fraser University
Rebeka Johnson,University of Lugano
Rense Corten,Utrecht University
Renáta Hosnedlová,CNRS
René Veenstra,University of Groningen
René van den Brink,Free University
Riccardo Boero,University of Torino
Richard A. Fabes,Arizona State University
Richard Heidler,Bergische University Wuppertal
Rick Grannis,University of California - Los Angeles
Rickard Nyman,University College London
Riitta Toivonen,Helsinki University of Technology
Rob Cross,University of Virginia
Robb Willer,University of Iowa
Robert A. Hanneman,University of California - Riverside
Robert Ackland,Australian National University
Robert Elliott Smith,University College London
Robert Faris,University of California - Davis
Robert Huckfeldt,University of California - Davis
Robert J. Beck,University of California - Irvine
Robert P. Gilles,Virginia Polytechnic Institute and State University
Robert Panitz,Heidelberg University
Robert R. Faulkner,University of Massachusetts
Robert W. Faris,University of California - Davis
Robert W. Krause,Linköping University
Roberto Corradetti,University of Torino
Robin Dunbar,University of Oxford
Robin I. M. Dunbar,University of Oxford
Rochelle R. Côté,University of Toronto
Roger Th. A. J. Leenders,Tilburg University
Rolf Ziegler,University of Munich
Romina Cachia,Sevilla University
Romualdo Pastor-Satorras,Polytechnic University of Catalonia
Ronald L. Breiger,University of Arizona
Ronald R. Rindfuss,University of North Carolina
Ronald S. Burt,University of Chicago
Rosa M. Benito,Polytechnic University of Madrid
Rosa M. V. Figueiredo,University of Aveiro
Rosanna Grassi,University of Milan Bicocca
Roy Gava,University of Geneva
Roy Lindelauf,Netherlands Defense Academy
Rozemarijn van der Ploeg,University of Groningen
Ruben De Cuyper,Netherlands Institute for the Study of Crime and Law enforcement (NSCR)
Rupa Jose,University of California - Irvine
Ruth F. Hunter,Queen's University
Ruud Hendrickx,Tilburg University
Ryan M. Acton,University of Massachusetts
Ryan W. Quinn,University of Louisville
Rémi Boivin,University of Montreal
Róbert Tardos,Eotvos Lorand University Faculty of Social Sciences
Sabina Kef,University of Amsterdam
Sabine De Moor,Ghent University
Sadamori Koujaku,Hokkaido University
Salvatore Miccichè,University of Palermo
Sam Field,University of Texas at Austin
Sam G. B. Roberts,University of Chester
Sam Schramski,Federal University of Amazonas
Samira Malek Mohamadi Golsefid,Amirkabir University of Technology (Polytechnic of Tehran)
Samrachana Adhikari,York University
Samuel Friedman,National Development and Research Institute
Samuel Wilson,Monash University
Sandra Cristina Oliveira,Universidade Estadual Paulista
Sandra González-Bailón,University of Pennsylvania
Sandro Sperandei,Institute of Scientific and Technological Communication & Information in Health
Sang Eun Woo,Purdue University
Sangeetha Madhavan,University of the Witwatersrand
Sangick Jeon,Stanford University
Sangwon Suh,University of California - Santa Barbara
Sanne Smith,Utrecht University
Sara Bastomski,Yale University
Sara Bojarczuk,Trinity College Dublin
Sara Geven,Utrecht University
Sara Gorgoni,University of Greenwich
Sara Y. Del Valle,Los Alamos National Laboratory
Sara Yeatman,University of Colorado
Sarah Gielen,KU Leuven
Sarah K. Cowan,York University
Satyam Mukherjee,Northwestern University
Scott Baum,Griffith University
Scott D. Gest,Pennsylvania State University
Scott D. McClurg,Southern Illinois University
Scott L. Feld,Purdue University
Scott W. Duxbury,Ohio State University
Sean M. Fitzhugh,University of California - Irvine
Sebastian Bähr,University of Erlangen-Nuremberg
Sebastian Pink,University of Mannheim
Sebastian Schnettler,Yale University
Sergio Chavez,Rice University
Sergiy Butenko,Texas A&M University
Seunghoo Lim,International University of Japan
Shanfeng Wang,Xidian University
Shankar Bhamidi,University of North Carolina
Sharique Hasan,Stanford University
Sheena Iyengar,Columbia University
Shigemi Kagawa,Kyushu University
Shin-Kap Han,University of Illinois at Urbana-Champaign
Shira Offer,Bar-Ilan University
Shunsuke Okamoto,Kyushu University
Siddhartha Bhattacharyya,University of Illinois at Chicago
Silke Adam,University of Bern
Silvia Snidero,University of Torino
Simi Wang,University of North Carolina
Simon DeDeo,Carnegie Mellon University
Simon Rodan,San José State University
Simona Bignami-Van Assche,Harvard University
Siyun Peng,Indiana University
Skyler J. Cranmer,Ohio State University
Song Yang,University of Minnesota
Sonja Opper,Lund University
Sonja Pointner,University of Bern
Soong Moon Kang,University College London
Spiro Maroulis,Arizona State University
Srinivas K. Reddy,Singapore Management University
Stanley Wasserman,University of Illinois at Urbana-Champaign
Stef Van Puyenbroeck,KU Leuven
Stefan Thurner,University of Vienna
Stefanie Bailey,Stanford University
Stefano Nasini,CNRS
Stefano Tasselli,Erasmus University Rotterdam
Stellan Ohlsson,University of Illinois at Chicago
Stephan Günnemann,Technical University of Munich
Stephanie Thiemichen,University of Munich
Stephen G. Eubank,Los Alamos National Laboratory
Stephen J. Walsh,University of North Carolina
Stephen P. Borgatti,University of Kent
Steve McDonald,North Carolina State University
Steven M. Chermak,Michigan State University
Steven M. Giles,Wake Forest University
Steven M. Goodreau,University of Washington
Steven Rytina,McGill University
Stijn Ruiter,Utrecht University
Stéphane Helleringer,Johns Hopkins University
Stéphane Legendre,CNRS
Sudheer Dhulipalla,Arizona State University
Susan Banducci,University of Exeter
Susan Bastani,Alzahra University
Susan C. Weller,University of Texas Medical Branch
Susan Cotts Watkins,University of Pennsylvania
Susan T. Ennett,University of North Carolina
Susanna Zaccarin,University of Trieste
Sven Banisch,Bielefeld University
Sze-Chuan Suen,University of Southern California
Sören Petermann,Ruhr-University Bochum
Tackseung Jun,Kyung Hee University
Tadeusz Sozanski,Institute of Sociology
Taha Yasseri,University of Oxford
Tahereh Dehdarirad,University of Barcelona
Taiane de Paula Ferreira,Universidade Estadual Paulista
Tal Spalter,Tel Aviv University
Tamar Yogev,University of Haifa
Tanja Nitschke,University of Karlsruhe (TH)
Tanya Araújo,Technical University of Lisbon
Tanya Menon,Ohio State University
Tarik Crnovrsanin,University of California - Davis
Ted Mouw,University of North Carolina
Terrence D. Jorgensen,University of Amsterdam
Terry D. Clark,Creighton University
Theo A. Arentze,Eindhoven University of Technology
Theo van Tilburg,Vrije University Amsterdam
Thierry Marchant,Ghent University
Thijs A. Velema,Sun Yat-sen University
Thomas F. Oltmanns,Washington University in St. Louis
Thomas Gautschi,University of Bern
Thomas Grund,University College Dublin
Thomas Häussler,University of Bern
Thomas J. Fararo,University of Pittsburgh
Thomas Lux,University of Kiel
Thomas N. Friemel,IPM
Thomas Rotolo,Washington State University
Thomas Scherngell,AIT Austrian Institute of Technology GmbH
Thomas U. Grund,Univeristy College Dublin
Thomas V. Pollet,University of Groningen
Thomas W. Valente,University of Southern California
Tian-Yun Chang,Vanderbilt University
Tijs A. van den Broek,University of Twente
Timothy J. Brazill,Mercer University
Tina Kogovsek,University of Ljubljana
Ting Li,University of North Carolina
Ting Luo,Manchester Metropolitan University
Tobias H. Stark,Utrecht University
Tobias Heinrich,University of South Carolina
Tobias Roth,University of Mannheim
Todd C. Lehmann,University of Michigan
Todd M. Loughead,University of Windsor
Tom A. B. Snijders,University of Groningen
Tom Decorte,University of Gent
Tom Vander Beken,Ghent University
Tomas Diviak,University of Manchester
Toon Kuppens,Catholic University
Tore Opsahl,Imperial College London
Tracy M. Sweet,University of Maryland - College Park
Travis Coan,University of Exeter
Travis G. Tatum,Univeristy College Dublin
Trevor I. Fenner,University of London
Troy Raeder,University of Notre Dame
Tso-Jung Yen,Academia Sinica
Tucker McGrimmon,University of South Carolina
Twan Burg,Tilburg University
Tünde Cserpes,University of Illinois at Chicago
Ueli Reber,University of Bern
Ulrik Brandes,University of Konstanz
Uwe Matzat,Eindhoven University of Technology
V. K. Narayanan,Drexel University
V. S. Subrahmanian,University of Maryland - College Park
Valentin Danchev,University of Oxford
Valentina Hlebec,University of Ljubljana
Valentina Mazzucato,Maastricht University
Valerio Arnaboldi,University of Oxford
Valerio Leone Sciabolazza,University of Naples
Valérie Delaunay,Aix Marseille University
Vangie A. Foshee,University of North Carolina
Vanina Jasmine Torló,University of Greenwich
Vasja Vehovar,University of Ljubljana
Verónica de Miguel Luken,Autonomous University of Barcelona
Vicki Stover Hertzberg,Emory University
Victor Agadjanian,University of Kansas
Victor Asal,University at Albany
Victor R. Prybutok,University of North Texas
Vincent A. A. Jansen,Royal Holloway University of London
Vincent A. Traag,Leiden University
Vincent Buskens,Utrecht University
Vincent Chua,National University of Singapore
Vincent G. Moscardelli,University of Connecticut
Vincent Lorant,Catholic University
Vincenz Frey,Bocconi University
Virginie Kidwell-Lopez,University of Texas at Dallas
Vittorio Fuccella,University of Salerno
Viviana Amati,ETH Zurich
Vladimir Barash,Cornell University
Vladimir Batagelj,University of Ljubljana
Volker Stocké,University of Kassel
Vontrese Deeds Pamphile,Northwestern University
Víctor Martínez-de-Albéniz,University of Navarra
W. Craig Carter,Middle Tennessee State University
W. Scott Comulada,University of California - Los Angeles
Walter Quattrociocchi,IMT School for Advanced Studies
Wayne E. Baker,University of Michigan
Wei Du 0004,Xi'an Jiaotong University
Wei Wang 0211,University of Central Florida
Weiai Xu,University of Massachusetts
Weiguo Wang,Dongbei University of Finance & Economics
Weihua An,Indiana University
Weiwei Gu,Tsinghua University
Wen-Chi Chuang,National Chengchi University
Wendy D. Brynildsen,Duke University
Wenhong Chen,University of Texas at Austin
Wentian Cui,Xi'an Jiaotong University
Werner Raub,Utrecht University
Willem E. Saris,University of Amsterdam
William C. Carter,University of North Carolina
William H. Woodall,Virginia Tech
William J. Burk,Radboud University
William J. Fitzgerald 0002,University of California - Irvine
William P. Eveland,Ohio State University
William S. Lovejoy,University of Michigan
Wim van den Noortgate,KU Leuven
Wouter de Nooy,University of Amsterdam
Xianbi Huang,La Trobe University
Xiangju Qin,University College Dublin
Xiaolin Shi,Microsoft
Xin Liu,Fudan University
Xin Lu 0002,Central South University
Xinghuo Yu 0001,Massachusetts Institute of Technology
Xingqin Qi,Shandong University
Xiumei Zhu,Purdue University
Xiuzhen Zhang,Massachusetts Institute of Technology
Y. Narahari,Indian Institute of Science
Ya-Wen Chiu,University of Washington
Yamir Moreno,University of Zaragoza
Yan-An Hwang,National Dong Hwa University
Yaneer Bar-Yam,New England Complex Systems Institute
Yang-chih Fu,Academia Sinica
Yanick Charette,Yale Institute for Network Science and Université Laval
Yanjie Bian,Xi'an Jiaotong University
Yanlong Zhang,Peking University
Yao Lu,Columbia University
Yasushi Kondo,Waseda University
Yee Heng Tan,Tokyo International University
Yen-Sheng Chiang,Academia Sinica
Yen-Wen Chen,National Taiwan University
Yi Cheng Loh,University of Cambridge
Yisook Lim,Yonsei University
Ylva Almquist,Stockholm University
Yong Gao 0001,University of British Columbia
Yong-Hak Kim,Yonsei University
Yongren Shi,University of Iowa
Yoshi Fujiwara,University of Hyogo
Yoshihisa Kashima,University of Melbourne
Yothin Sawangdee,Mahidol University
Yuan Hsiao,University of Washington
Yuejin Tan,National University of Defense Technology
Yuguo Chen,University of Illinois at Urbana-Champaign
Yuki Yasuda,University of Tokyo
Yun Huang 0001,Northwestern University
Yunpeng Zhao,George Mason University
Yunsong Chen,Nanjing University
Yuri Takhteyev,University of Toronto
Yuval Kalish,The Hebrew University
Yves Zenou,Stockholm University
Zachary Navabi,Ohio State University
Zachary Neal,Michigan State University
Zachary P. Neal,Michigan State University
Zack W. Almquist,University of California - Irvine
Zeljka Tonkovic,University of Zadar
Zeynep Ertem,Texas A&M University
Zhehui Zhong,University of Waterloo
Zhenkun Zhou,Beihang University
Zhi Huang,University of Kent
Zhijin Wu,Brown University
Zhulou Cao,Shandong University
Zoltán Kmetty,Eotvos Lorand University Faculty of Social Sciences
Zsolt Katona,University of California - Berkeley
Zsolt Unoka,Semmelweis University
Zsófia Boda,ETH Zurich
jimi adams,University of Colorado
Örjan Bodin,Stockholm University
Adama S. Marra,The Research Institute for Development
Alberto Caimo,Dublin Institute of Technology
Alessandro Lomi,University of Italian Switzerland
Andrea Mendoza-Silva,us
Andrew Shipilov,de
Andrew T. Stephen,de
Angelo Mondaini Calvão,de
Anna Nieboer,Institute of Health Policy and Management
Anne-Marie Niekamp,us
Arnaud Bringé,National Institute of Demographic Studies
Benedetta Belli-McQueen,us
Benoît R. Mâsse,de
Binh Phan,us
Bogumil Kaminski,Institute of Econometrics
C. Ferrara,de
Catherine J. Chu,us
Christian J. P. A. Hoebe,us
Christian Licoppe,de
Christianne J. de Poot,us
Ciro Cattuto,Institute for Scientific Interchange (ISI) Foundation
Claire Bidart,de
Claude S. Fischer,University of California - Berkeley
Crysttian Arantes Paixão,de
David C. Bell,us
Dominique Cardon,us
Dominique Simon,de
Ehsan Fakharizadi,de
Emmanuel Lazega,Institute of Political Studies in Paris
Erik Jan van Leeuwen,Max Planck Institute
Erkki Vartiainen,National Public Health Institute
F. Petruzzella,de
Fabien Granjon,us
Ferenc Szidarovszky,de
Flávio Codeço Coelho,de
Francisco I. Bastos,de
Francisco J. Granados,Institut Barcelona d'Estudis Internacionals (IBEI)
Francois Collet,us
François Charbonnier,de
Giovanna Miritello,Telefónica Research
Gunnar Flötteröd,KTH - Royal Institute of Technology
Günes Ertan,Coach University
Helena Buhr,The Northwestern Institute on Complex Systems (NICO)
Henning Silber,GESIS - Leibniz Institute for the Social Sciences
Ines Lindner,Tinbergen Institute
Ion Georgiou,de
James Hollway,Graduate Institute Geneva
Jaume Guia,us
Jean-Philippe Cointet,ISC-PIF
Jerry W. Carlson,us
Jesper J. Rözer,Dutch Institute for Social Science Research (SCP)
Jette Schröder,GESIS - Leibniz Institute for the Social Sciences
Johannes Illenberger,Berlin Institute of Technology
John Belchamber,Telefónica Research
John Dunn,us
John S. Atkinson,us
Jordi Brandts,us
Keisuke Nansai,National Institute for Environmental Studies
Klaus Hamberger,de
Lea-Maria Löbel,German Institute for Economic Research (DIW) Berlin
Lotte Vermeij,The Netherlands Institute for Social Research
Lucia Falzon,us
Maeve B. Mello,de
Manuel Fischer,Swiss Federal Institute for Aquatic Research
Marc Barthelemy,de
Marcelo Ribeiro-Alves,National Institute of Infectious Diseases Evandro Chagas
Marie-Claude Boily,de
Masaaki Terai,RIKEN Advanced Institute for Computational Science
Mathew Mathews,us
Matilde Massó,University of A Coruña
Matt T. Bianchi,us
Mauro Barone,de
Michael Bosnjak,ZPID - Leibniz Institute for Psychology Information
Naoki Masuda,RIKEN Brain Science Institute
Neilane Bertoni,de
Nicholas A. Christakis,Yale Institute for Network Science
Nicole H. T. M. Dukers-Muijrers,us
Olaf N. Rank,us
Oscar Hendrick,de
Peter A. Gloor,Massachusetts Institute of Technology
Peter Griffith,de
Peter Hedström,Institute for Futures Studies
Pierre Barbillon,de
Rebecca Goolsby,de
Renato Rocha Souza,de
Rob Cross,us
Robert Poulin,de
Rocío Martínez-López,Telefónica Research
Ronald Concer,de
Rubén Lara,Telefónica Research
Sabrina Delgado-Arias,de
Saskia Metzler,Max Planck Institute
Sophie Donnet,de
Stephen Q. Muth,us
Tristan Picard,de
Valentyn Kalnysh,Ukrainian Institute of Public Health
Vanessa M. Escobar,de
Vladimir Batagelj,Institute of Mathematics
Xi Zou,us
Yoshiyuki Arata,Research Institute of Economy
Yuri Kalnysh,Ukrainian Academy of Public Service
Zbigniew Smoreda,de
Øystein D. Fjeldstad,us
